unique_id,DateTime,Date,Time,Message,DayOfWeek,TimeOfDay,Snooze_Ratio,AlarmDismissed_Ratio,Duration
1,2023-04-22 09:30:01,2023-04-22,09:30:01,Triggered,Saturday,Morning,0.25,0.25,00:20:11
1,2023-04-22 09:40:01,2023-04-22,09:40:01,Snooze,Saturday,Morning,0.25,0.25,00:20:11
1,2023-04-22 09:50:00,2023-04-22,09:50:00,Triggered,Saturday,Morning,0.25,0.25,00:20:11
1,2023-04-22 09:50:12,2023-04-22,09:50:12,Alarm dismissed,Saturday,Morning,0.25,0.25,00:20:11
2,2023-04-27 05:40:00,2023-04-27,05:40:00,Triggered,Thursday,Morning,0.25,0.25,00:20:16
2,2023-04-27 05:50:00,2023-04-27,05:50:00,Snooze,Thursday,Morning,0.25,0.25,00:20:16
2,2023-04-27 06:00:00,2023-04-27,06:00:00,Triggered,Thursday,Morning,0.25,0.25,00:20:16
2,2023-04-27 06:00:16,2023-04-27,06:00:16,Alarm dismissed,Thursday,Morning,0.25,0.25,00:20:16
3,2023-04-27 12:12:00,2023-04-27,12:12:00,Triggered,Thursday,Afternoon,0.0,0.5,00:00:05
3,2023-04-27 12:12:05,2023-04-27,12:12:05,Alarm dismissed,Thursday,Afternoon,0.0,0.5,00:00:05
4,2023-04-28 05:40:00,2023-04-28,05:40:00,Triggered,Friday,Morning,0.0,0.5,00:00:08
4,2023-04-28 05:40:08,2023-04-28,05:40:08,Alarm dismissed,Friday,Morning,0.0,0.5,00:00:08
5,2023-04-29 06:20:00,2023-04-29,06:20:00,Triggered,Saturday,Morning,0.0,0.5,00:00:23
5,2023-04-29 06:20:23,2023-04-29,06:20:23,Alarm dismissed,Saturday,Morning,0.0,0.5,00:00:23
6,2023-04-30 06:20:00,2023-04-30,06:20:00,Triggered,Sunday,Morning,0.0,0.5,00:00:10
6,2023-04-30 06:20:10,2023-04-30,06:20:10,Alarm dismissed,Sunday,Morning,0.0,0.5,00:00:10
7,2023-05-01 09:30:00,2023-05-01,09:30:00,Triggered,Monday,Morning,0.0,0.5,00:02:34
7,2023-05-01 09:32:34,2023-05-01,09:32:34,Alarm dismissed,Monday,Morning,0.0,0.5,00:02:34
8,2023-05-03 06:20:00,2023-05-03,06:20:00,Triggered,Wednesday,Morning,0.0,0.5,00:02:33
8,2023-05-03 06:22:33,2023-05-03,06:22:33,Alarm dismissed,Wednesday,Morning,0.0,0.5,00:02:33
9,2023-05-03 16:58:00,2023-05-03,16:58:00,Triggered,Wednesday,Evening,0.0,0.5,00:00:23
9,2023-05-03 16:58:23,2023-05-03,16:58:23,Alarm dismissed,Wednesday,Evening,0.0,0.5,00:00:23
10,2023-05-05 06:20:00,2023-05-05,06:20:00,Triggered,Friday,Morning,0.3333333333333333,0.16666666666666666,00:47:05
10,2023-05-05 06:30:01,2023-05-05,06:30:01,Snooze,Friday,Morning,0.3333333333333333,0.16666666666666666,00:47:05
10,2023-05-05 06:40:00,2023-05-05,06:40:00,Triggered,Friday,Morning,0.3333333333333333,0.16666666666666666,00:47:05
10,2023-05-05 06:50:00,2023-05-05,06:50:00,Snooze,Friday,Morning,0.3333333333333333,0.16666666666666666,00:47:05
10,2023-05-05 07:00:00,2023-05-05,07:00:00,Triggered,Friday,Morning,0.3333333333333333,0.16666666666666666,00:47:05
10,2023-05-05 07:07:05,2023-05-05,07:07:05,Alarm dismissed,Friday,Morning,0.3333333333333333,0.16666666666666666,00:47:05
11,2023-05-06 06:20:00,2023-05-06,06:20:00,Triggered,Saturday,Morning,0.375,0.125,01:10:00
11,2023-05-06 06:30:00,2023-05-06,06:30:00,Snooze,Saturday,Morning,0.375,0.125,01:10:00
11,2023-05-06 06:40:00,2023-05-06,06:40:00,Triggered,Saturday,Morning,0.375,0.125,01:10:00
11,2023-05-06 06:50:00,2023-05-06,06:50:00,Snooze,Saturday,Morning,0.375,0.125,01:10:00
11,2023-05-06 07:00:00,2023-05-06,07:00:00,Triggered,Saturday,Morning,0.375,0.125,01:10:00
11,2023-05-06 07:10:00,2023-05-06,07:10:00,Snooze,Saturday,Morning,0.375,0.125,01:10:00
11,2023-05-06 07:20:00,2023-05-06,07:20:00,Triggered,Saturday,Morning,0.375,0.125,01:10:00
11,2023-05-06 07:30:00,2023-05-06,07:30:00,Alarm dismissed,Saturday,Morning,0.375,0.125,01:10:00
12,2023-05-06 17:58:00,2023-05-06,17:58:00,Triggered,Saturday,Evening,0.0,0.5,00:00:09
12,2023-05-06 17:58:09,2023-05-06,17:58:09,Alarm dismissed,Saturday,Evening,0.0,0.5,00:00:09
13,2023-05-07 06:20:00,2023-05-07,06:20:00,Triggered,Sunday,Morning,0.375,0.125,01:09:16
13,2023-05-07 06:30:00,2023-05-07,06:30:00,Snooze,Sunday,Morning,0.375,0.125,01:09:16
13,2023-05-07 06:40:00,2023-05-07,06:40:00,Triggered,Sunday,Morning,0.375,0.125,01:09:16
13,2023-05-07 06:50:00,2023-05-07,06:50:00,Snooze,Sunday,Morning,0.375,0.125,01:09:16
13,2023-05-07 07:00:00,2023-05-07,07:00:00,Triggered,Sunday,Morning,0.375,0.125,01:09:16
13,2023-05-07 07:10:00,2023-05-07,07:10:00,Snooze,Sunday,Morning,0.375,0.125,01:09:16
13,2023-05-07 07:20:00,2023-05-07,07:20:00,Triggered,Sunday,Morning,0.375,0.125,01:09:16
13,2023-05-07 07:29:16,2023-05-07,07:29:16,Alarm dismissed,Sunday,Morning,0.375,0.125,01:09:16
14,2023-05-07 17:58:00,2023-05-07,17:58:00,Triggered,Sunday,Evening,0.0,0.5,00:00:16
14,2023-05-07 17:58:16,2023-05-07,17:58:16,Alarm dismissed,Sunday,Evening,0.0,0.5,00:00:16
15,2023-05-08 08:20:00,2023-05-08,08:20:00,Triggered,Monday,Morning,0.0,0.5,00:02:52
15,2023-05-08 08:22:52,2023-05-08,08:22:52,Alarm dismissed,Monday,Morning,0.0,0.5,00:02:52
16,2023-05-08 09:00:00,2023-05-08,09:00:00,Triggered,Monday,Morning,0.0,0.5,00:00:23
