Date,Time,Module,Message
2024-01-05,14:45:33,AlarmHelper,setStatusBarIcon: true
2024-01-05,14:45:33,ShutdownAlarm,Set Shutdown Alarm. System will boot at 2024-01-06 08:28:00
2024-01-05,14:45:33,Test,Set Shutdown Alarm Success.
2024-01-05,14:45:33,AlarmHelper,setZenMode
2024-01-05,14:47:06,AlarmInitReceiver,receive action: android.intent.action.TIME_SET
2024-01-05,14:47:06,NotificationUtil,clearAlarmArrivingNotification
2024-01-05,14:47:06,AlarmHelper,clearAlarmArrivingAlarm
2024-01-05,14:47:06,AlarmHelper,"register alarm to AlarmManager: Alarm:(id:2, enabled:true, hour:8, minutes:30, seconds:0, daysOfWeek:127, time:2024-01-06 08:30:00, vibrate:true, alert:file:///storage/emulated/0/MIUI/.ringtone/Believer%20(Imagine%20Dragons)%20320Kbps(Gomirchi.in).mp3, silent:false, deleteAfterUse:false, skipTime:0)"
2024-01-05,14:47:06,AlarmHelper,setStatusBarIcon: true
2024-01-05,14:47:06,ShutdownAlarm,Set Shutdown Alarm. System will boot at 2024-01-06 08:28:00
2024-01-05,14:47:06,Test,Set Shutdown Alarm Success.
2024-01-05,14:47:06,AlarmHelper,setZenMode
2024-01-05,16:37:25,AlarmInitReceiver,receive action: android.intent.action.TIME_SET
2024-01-05,16:37:25,NotificationUtil,clearAlarmArrivingNotification
2024-01-05,16:37:25,AlarmHelper,clearAlarmArrivingAlarm
2024-01-05,16:37:25,AlarmHelper,"register alarm to AlarmManager: Alarm:(id:2, enabled:true, hour:8, minutes:30, seconds:0, daysOfWeek:127, time:2024-01-06 08:30:00, vibrate:true, alert:file:///storage/emulated/0/MIUI/.ringtone/Believer%20(Imagine%20Dragons)%20320Kbps(Gomirchi.in).mp3, silent:false, deleteAfterUse:false, skipTime:0)"
2024-01-05,16:37:25,AlarmHelper,setStatusBarIcon: true
2024-01-05,16:37:25,ShutdownAlarm,Set Shutdown Alarm. System will boot at 2024-01-06 08:28:00
2024-01-05,16:37:25,Test,Set Shutdown Alarm Success.
